epoch,step,train_reg_loss,val_reg_loss
0,5,,0.7074787020683289
0,5,9.159880638122559,
1,11,,0.5174785852432251
1,11,0.2834717035293579,
2,17,,0.4140358567237854
2,17,0.8825732469558716,
3,23,,0.043696023523807526
3,23,0.487154483795166,
4,29,,0.11406725645065308
4,29,0.06727969646453857,
5,35,,0.276606947183609
5,35,0.05320014804601669,
6,41,,0.25109490752220154
6,41,0.07575325667858124,
7,47,,0.14265738427639008
7,47,0.050281789153814316,
8,53,,0.06810122728347778
8,53,0.032773617655038834,
9,59,,0.05093560367822647
9,59,0.02890738844871521,
10,65,,0.058895133435726166
10,65,0.028039095923304558,
11,71,,0.08250690996646881
11,71,0.025826910510659218,
12,77,,0.09888027608394623
12,77,0.022596221417188644,
13,83,,0.09986372292041779
13,83,0.02629183605313301,
14,89,,0.08710861206054688
14,89,0.024025967344641685,
15,95,,0.07930263131856918
15,95,0.021155964583158493,
16,101,,0.0788508802652359
16,101,0.021876070648431778,
17,107,,0.07955922186374664
17,107,0.02317325584590435,
18,113,,0.08022943884134293
18,113,0.023281272500753403,
19,119,,0.08462616801261902
19,119,0.024659207090735435,
20,125,,0.08625689893960953
20,125,0.023893462494015694,
21,131,,0.08315020799636841
21,131,0.024202197790145874,
22,137,,0.0819382518529892
22,137,0.02522616647183895,
23,143,,0.07759267091751099
23,143,0.022915638983249664,
24,149,,0.0772678554058075
24,149,0.02076147124171257,
25,155,,0.07932516932487488
25,155,0.019955549389123917,
26,161,,0.08110395073890686
26,161,0.021516475826501846,
27,167,,0.08454571664333344
27,167,0.020511170849204063,
28,173,,0.0878170058131218
28,173,0.022063545882701874,
29,179,,0.08454742282629013
29,179,0.02519192174077034,
30,185,,0.07966332882642746
30,185,0.017727799713611603,
31,191,,0.07226138561964035
31,191,0.021101199090480804,
32,197,,0.07003132998943329
32,197,0.022329600527882576,
33,203,,0.07530082017183304
33,203,0.024113697931170464,
34,209,,0.08422257751226425
34,209,0.01968853920698166,
35,215,,0.08840882033109665
35,215,0.021299580112099648,
36,221,,0.0848853588104248
36,221,0.021164309233427048,
37,227,,0.08348541706800461
37,227,0.021749602630734444,
38,233,,0.08612854778766632
38,233,0.019169138744473457,
39,239,,0.0804641842842102
39,239,0.020854657515883446,
40,245,,0.07032336294651031
40,245,0.02012224867939949,
41,251,,0.07746509462594986
41,251,0.018704716116189957,
42,257,,0.08338490128517151
42,257,0.019171521067619324,
43,263,,0.07528504729270935
43,263,0.021734820678830147,
44,269,,0.07273401319980621
44,269,0.018530022352933884,
45,275,,0.06840310990810394
45,275,0.02009625919163227,
46,281,,0.0761324018239975
46,281,0.0215930063277483,
47,287,,0.09121575951576233
47,287,0.021825293079018593,
48,293,,0.09003379940986633
48,293,0.02244695834815502,
49,299,,0.0728900209069252
49,299,0.019540371373295784,
50,305,,0.06591776013374329
50,305,0.0196986123919487,
51,311,,0.08171236515045166
51,311,0.018286552280187607,
52,317,,0.0897412970662117
52,317,0.018850570544600487,
53,323,,0.07326319068670273
53,323,0.02041020058095455,
54,329,,0.07330054044723511
54,329,0.02065383270382881,
55,335,,0.08763892948627472
55,335,0.01908356137573719,
56,341,,0.09365236759185791
56,341,0.018367573618888855,
57,347,,0.07381051778793335
57,347,0.02071383409202099,
58,353,,0.06978398561477661
58,353,0.019839642569422722,
59,359,,0.07687024027109146
59,359,0.018411926925182343,
60,365,,0.08351969718933105
60,365,0.018119139596819878,
61,371,,0.080567866563797
61,371,0.018886631354689598,
62,377,,0.07203663140535355
62,377,0.01779858209192753,
63,383,,0.06886685639619827
63,383,0.0159901175647974,
64,389,,0.07961971312761307
64,389,0.021891165524721146,
65,395,,0.08882033079862595
65,395,0.020617565140128136,
66,401,,0.06750146299600601
66,401,0.020329570397734642,
67,407,,0.059084974229335785
67,407,0.017641322687268257,
68,413,,0.07517008483409882
68,413,0.02040957100689411,
69,419,,0.08381640911102295
69,419,0.017648175358772278,
70,425,,0.07945090532302856
70,425,0.01770394667983055,
71,431,,0.06967369467020035
71,431,0.01896202377974987,
72,437,,0.07026049494743347
72,437,0.02029477246105671,
73,443,,0.07354934513568878
73,443,0.015255067497491837,
74,449,,0.0803368017077446
74,449,0.0178975909948349,
75,455,,0.07805156707763672
75,455,0.018029548227787018,
76,461,,0.07120902836322784
76,461,0.01879424974322319,
77,467,,0.06689472496509552
77,467,0.019377220422029495,
78,473,,0.0811854749917984
78,473,0.01793074607849121,
79,479,,0.08416403084993362
79,479,0.019287794828414917,
80,485,,0.062304265797138214
80,485,0.016785629093647003,
81,491,,0.07570209354162216
81,491,0.022252272814512253,
82,497,,0.08960740268230438
82,497,0.018138302490115166,
83,503,,0.07575471699237823
83,503,0.019117876887321472,
84,509,,0.06889409571886063
84,509,0.01606134884059429,
85,515,,0.08304275572299957
85,515,0.017340727150440216,
86,521,,0.07527802139520645
86,521,0.01766502857208252,
87,527,,0.07453519105911255
87,527,0.01887020468711853,
88,533,,0.0821220725774765
88,533,0.017247797921299934,
89,539,,0.07747039198875427
89,539,0.016302717849612236,
90,545,,0.07762623578310013
90,545,0.016664497554302216,
91,551,,0.08347000926733017
91,551,0.01893959566950798,
92,557,,0.06412801146507263
92,557,0.01879022642970085,
93,563,,0.07663822174072266
93,563,0.016334788873791695,
94,569,,0.07859174907207489
94,569,0.016326189041137695,
95,575,,0.06956689804792404
95,575,0.018624069169163704,
96,581,,0.07238548249006271
96,581,0.014782918617129326,
97,587,,0.080335333943367
97,587,0.017328312620520592,
98,593,,0.07625487446784973
98,593,0.01612812466919422,
99,599,,0.07939473539590836
99,599,0.01728399284183979,
100,605,,0.08520431816577911
100,605,0.01812455989420414,
101,611,,0.07386939227581024
101,611,0.018191011622548103,
102,617,,0.06328374892473221
102,617,0.01668178290128708,
103,623,,0.07296708971261978
103,623,0.01654873788356781,
104,629,,0.07198161631822586
104,629,0.016506602987647057,
105,635,,0.08285492658615112
105,635,0.01731145568192005,
106,641,,0.07389719039201736
106,641,0.016626212745904922,
107,647,,0.07440664619207382
107,647,0.016404958441853523,
108,653,,0.06791392713785172
108,653,0.016650348901748657,
109,659,,0.06815482676029205
109,659,0.016628608107566833,
