epoch,step,train_reg_loss,val_reg_loss
0,5,,0.7081162333488464
0,5,9.355595588684082,
1,11,,0.5256358981132507
1,11,0.2945385277271271,
2,17,,0.42440491914749146
2,17,0.9289222955703735,
3,23,,0.04205640032887459
3,23,0.5179248452186584,
4,29,,0.10117405652999878
4,29,0.08892365545034409,
5,35,,0.2644374668598175
5,35,0.07027736306190491,
6,41,,0.24976007640361786
6,41,0.09645701199769974,
7,47,,0.14225487411022186
7,47,0.07411715388298035,
8,53,,0.06476394832134247
8,53,0.04767982289195061,
9,59,,0.04376116394996643
9,59,0.04340485855937004,
10,65,,0.04992641508579254
10,65,0.04636096581816673,
11,71,,0.07210148125886917
11,71,0.04126344993710518,
12,77,,0.0870596319437027
12,77,0.03750695288181305,
13,83,,0.08831784129142761
13,83,0.04171008616685867,
14,89,,0.08140560239553452
14,89,0.04156117886304855,
15,95,,0.07501408457756042
15,95,0.038680192083120346,
16,101,,0.06721857190132141
16,101,0.04279530420899391,
17,107,,0.06733140349388123
17,107,0.04005632922053337,
18,113,,0.07058483362197876
18,113,0.03860990330576897,
19,119,,0.07069176435470581
19,119,0.035835787653923035,
20,125,,0.07029429078102112
20,125,0.03783436119556427,
21,131,,0.07334468513727188
21,131,0.03851398453116417,
22,137,,0.07484948635101318
22,137,0.03397762030363083,
23,143,,0.06761976331472397
23,143,0.040854182094335556,
24,149,,0.06276597827672958
24,149,0.039358414709568024,
25,155,,0.0602949783205986
25,155,0.04103478416800499,
26,161,,0.0652691125869751
26,161,0.03646065294742584,
27,167,,0.07252506911754608
27,167,0.031548548489809036,
28,173,,0.07475774735212326
28,173,0.041739292442798615,
29,179,,0.06921922415494919
29,179,0.03742765262722969,
30,185,,0.062103770673274994
30,185,0.030133038759231567,
31,191,,0.062347423285245895
31,191,0.038591086864471436,
32,197,,0.05558441951870918
32,197,0.03515512868762016,
33,203,,0.05857553333044052
33,203,0.03498249873518944,
34,209,,0.06618475168943405
34,209,0.03808986768126488,
35,215,,0.06962306052446365
35,215,0.03362682834267616,
36,221,,0.061393093317747116
36,221,0.03877662122249603,
37,227,,0.06515210121870041
37,227,0.032670896500349045,
38,233,,0.07142579555511475
38,233,0.03003094717860222,
39,239,,0.06198568269610405
39,239,0.03465045988559723,
40,245,,0.055162202566862106
40,245,0.03568495810031891,
41,251,,0.060548316687345505
41,251,0.034789301455020905,
42,257,,0.06265484541654587
42,257,0.03238822519779205,
43,263,,0.05390297621488571
43,263,0.031761568039655685,
44,269,,0.05999971553683281
44,269,0.030901119112968445,
45,275,,0.05264356732368469
45,275,0.027871156111359596,
46,281,,0.05423200875520706
46,281,0.03219561278820038,
47,287,,0.06750794500112534
47,287,0.030275879427790642,
48,293,,0.06734765321016312
48,293,0.032917071133852005,
49,299,,0.05297330021858215
49,299,0.03120848350226879,
50,305,,0.044381123036146164
50,305,0.034140363335609436,
51,311,,0.06211041659116745
51,311,0.02918434701859951,
52,317,,0.0648648589849472
52,317,0.026355046778917313,
53,323,,0.052622415125370026
53,323,0.03326203301548958,
54,329,,0.05112150311470032
54,329,0.03289400786161423,
