epoch,step,train_reg_loss,val_reg_loss
0,5,,0.7443365454673767
0,5,9.453490257263184,
1,11,,0.5190401673316956
1,11,0.28845643997192383,
2,17,,0.43141084909439087
2,17,0.9201281070709229,
3,23,,0.050142914056777954
3,23,0.5271708965301514,
4,29,,0.09925416111946106
4,29,0.09461355954408646,
5,35,,0.2626224756240845
5,35,0.05373195931315422,
6,41,,0.257053405046463
6,41,0.07956604659557343,
7,47,,0.15477897226810455
7,47,0.07677005976438522,
8,53,,0.07620720565319061
8,53,0.04622405022382736,
9,59,,0.054401397705078125
9,59,0.03884882479906082,
10,65,,0.05824270844459534
10,65,0.039508476853370667,
11,71,,0.07897230237722397
11,71,0.04000919312238693,
12,77,,0.09405750036239624
12,77,0.03412095457315445,
13,83,,0.10007376968860626
13,83,0.03539527207612991,
14,89,,0.08965528011322021
14,89,0.04182548075914383,
15,95,,0.08376451581716537
15,95,0.03617694601416588,
16,101,,0.08312509953975677
16,101,0.039181824773550034,
17,107,,0.08266372978687286
17,107,0.03579192981123924,
18,113,,0.08140215277671814
18,113,0.035155247896909714,
19,119,,0.08548849821090698
19,119,0.03593798726797104,
20,125,,0.08551567047834396
20,125,0.032370150089263916,
21,131,,0.08410617709159851
21,131,0.038732971996068954,
22,137,,0.0852048248052597
22,137,0.0313345231115818,
23,143,,0.07941274344921112
23,143,0.038797080516815186,
24,149,,0.0766131803393364
24,149,0.034981027245521545,
25,155,,0.08158919215202332
25,155,0.033000506460666656,
26,161,,0.08224017173051834
26,161,0.035477228462696075,
27,167,,0.08817758411169052
27,167,0.031475476920604706,
28,173,,0.09097068756818771
28,173,0.0338904894888401,
29,179,,0.08700943738222122
29,179,0.03543272241950035,
30,185,,0.0797964558005333
30,185,0.032218094915151596,
31,191,,0.07339941710233688
31,191,0.035727933049201965,
32,197,,0.07270026206970215
32,197,0.03204667195677757,
33,203,,0.08137643337249756
33,203,0.03506924957036972,
34,209,,0.08898083865642548
34,209,0.03600123152136803,
35,215,,0.08648546040058136
35,215,0.034524235874414444,
36,221,,0.08528423309326172
36,221,0.03342520818114281,
37,227,,0.08490488678216934
37,227,0.03384307399392128,
38,233,,0.08353707194328308
38,233,0.03090694174170494,
39,239,,0.08141070604324341
39,239,0.030911164358258247,
40,245,,0.07960304617881775
40,245,0.032552096992731094,
41,251,,0.08388306945562363
41,251,0.026952488347887993,
42,257,,0.07839439064264297
42,257,0.031152818351984024,
43,263,,0.07982651889324188
43,263,0.030718283727765083,
44,269,,0.07985170930624008
44,269,0.030272886157035828,
45,275,,0.06625406444072723
45,275,0.028074555099010468,
46,281,,0.07858464121818542
46,281,0.03215830773115158,
47,287,,0.09925375878810883
47,287,0.032460566610097885,
48,293,,0.09048056602478027
48,293,0.035973839461803436,
49,299,,0.07309840619564056
49,299,0.03392753005027771,
50,305,,0.06707340478897095
50,305,0.03254418447613716,
51,311,,0.08673673868179321
51,311,0.027363883331418037,
52,317,,0.08946911245584488
52,317,0.030868757516145706,
53,323,,0.07363611459732056
53,323,0.03579004853963852,
54,329,,0.07617683708667755
54,329,0.0286124087870121,
55,335,,0.08654776960611343
55,335,0.029262600466609,
56,341,,0.09847263991832733
56,341,0.028469117358326912,
57,347,,0.07823961228132248
57,347,0.031080881133675575,
58,353,,0.07174211740493774
58,353,0.02769252471625805,
59,359,,0.07466283440589905
59,359,0.028811585158109665,
60,365,,0.0852963849902153
60,365,0.026130495592951775,
61,371,,0.08479227870702744
61,371,0.02527404949069023,
62,377,,0.0696592926979065
62,377,0.02727866731584072,
63,383,,0.07167138159275055
63,383,0.025554325431585312,
64,389,,0.08083178848028183
64,389,0.031797733157873154,
65,395,,0.09644816070795059
65,395,0.03035861998796463,
66,401,,0.06622717529535294
66,401,0.02816339023411274,
67,407,,0.06150753051042557
67,407,0.028181778267025948,
68,413,,0.07795598357915878
68,413,0.026311669498682022,
69,419,,0.09075506776571274
69,419,0.031340133398771286,
70,425,,0.0874783918261528
70,425,0.02794092521071434,
71,431,,0.06583432853221893
71,431,0.027852540835738182,
72,437,,0.06980259716510773
72,437,0.028825262561440468,
73,443,,0.07491353154182434
73,443,0.024192890152335167,
74,449,,0.09004247933626175
74,449,0.025049755349755287,
75,455,,0.07964804023504257
75,455,0.027127239853143692,
76,461,,0.07028016448020935
76,461,0.028009861707687378,
77,467,,0.07033039629459381
77,467,0.023209799081087112,
78,473,,0.08356202393770218
78,473,0.026477951556444168,
79,479,,0.08709446340799332
79,479,0.02664492465555668,
80,485,,0.06489186733961105
80,485,0.022886665537953377,
81,491,,0.08193115890026093
81,491,0.02740369364619255,
82,497,,0.09611468762159348
82,497,0.027015911415219307,
83,503,,0.07151083648204803
83,503,0.02425953559577465,
84,509,,0.0751546323299408
84,509,0.024203702807426453,
85,515,,0.08153420686721802
85,515,0.02210872247815132,
86,521,,0.07366422563791275
86,521,0.027028189972043037,
87,527,,0.07955344021320343
87,527,0.024914178997278214,
88,533,,0.088069386780262
88,533,0.025676101446151733,
89,539,,0.07713583111763
89,539,0.025471404194831848,
90,545,,0.08617398142814636
90,545,0.02578582800924778,
91,551,,0.0829986035823822
91,551,0.027946874499320984,
92,557,,0.07021544873714447
92,557,0.0239186342805624,
93,563,,0.07677328586578369
93,563,0.02300279587507248,
94,569,,0.08434676378965378
94,569,0.02686760202050209,
95,575,,0.07013887166976929
95,575,0.02552078291773796,
96,581,,0.07970738410949707
96,581,0.025467243045568466,
97,587,,0.08476278185844421
97,587,0.029756929725408554,
98,593,,0.07402212917804718
98,593,0.02739548124372959,
99,599,,0.0799061730504036
99,599,0.022880252450704575,
100,605,,0.09501485526561737
100,605,0.024037592113018036,
101,611,,0.07491084188222885
101,611,0.025717586278915405,
102,617,,0.062404561787843704
102,617,0.02484743669629097,
103,623,,0.08190008997917175
103,623,0.026974093168973923,
104,629,,0.07691483944654465
104,629,0.02570917271077633,
105,635,,0.07672099769115448
105,635,0.02545926347374916,
106,641,,0.07443073391914368
106,641,0.02452111802995205,
107,647,,0.08489425480365753
107,647,0.022299103438854218,
108,653,,0.06839948892593384
108,653,0.0220883097499609,
109,659,,0.06588206440210342
109,659,0.022772373631596565,
110,665,,0.08971579372882843
110,665,0.023042898625135422,
111,671,,0.0866410955786705
111,671,0.027507035061717033,
112,677,,0.06464845687150955
112,677,0.02630474604666233,
113,683,,0.08893640339374542
113,683,0.027682160958647728,
114,689,,0.08271559327840805
114,689,0.022845301777124405,
115,695,,0.06873233616352081
115,695,0.022925570607185364,
116,701,,0.08087468892335892
116,701,0.024497326463460922,
117,707,,0.08290431648492813
117,707,0.02775399200618267,
118,713,,0.0817231759428978
118,713,0.023214012384414673,
119,719,,0.07230877131223679
119,719,0.020100440829992294,
120,725,,0.06772837042808533
120,725,0.021630268543958664,
121,731,,0.07143022119998932
121,731,0.022669296711683273,
122,737,,0.08880513906478882
122,737,0.02438308112323284,
123,743,,0.08016303181648254
123,743,0.022272832691669464,
124,749,,0.05748864263296127
124,749,0.02558225765824318,
125,755,,0.08974993228912354
125,755,0.025750484317541122,
126,761,,0.09040088206529617
126,761,0.026555750519037247,
127,767,,0.0654735416173935
127,767,0.020133931189775467,
128,773,,0.07748744636774063
128,773,0.022585321217775345,
129,779,,0.08391455560922623
129,779,0.024363286793231964,
