epoch,step,train_reg_loss,val_reg_loss
0,5,,1.783448576927185
0,5,6.456070899963379,
1,11,,0.16133762896060944
1,11,0.41053298115730286,
2,17,,0.2547265887260437
2,17,0.25047391653060913,
3,23,,0.16585339605808258
3,23,0.3039289116859436,
4,29,,0.22962693870067596
4,29,0.12446042895317078,
5,35,,0.34972354769706726
5,35,0.08123529702425003,
6,41,,0.3137967884540558
6,41,0.11491305381059647,
7,47,,0.2257661521434784
7,47,0.08884886652231216,
8,53,,0.19604381918907166
8,53,0.07404635846614838,
9,59,,0.19894574582576752
9,59,0.07641828805208206,
10,65,,0.22268083691596985
10,65,0.08683675527572632,
11,71,,0.23154278099536896
11,71,0.07271189987659454,
12,77,,0.22941747307777405
12,77,0.08673667162656784,
13,83,,0.23025278747081757
13,83,0.07243430614471436,
14,89,,0.2187466323375702
14,89,0.08351968228816986,
15,95,,0.23047217726707458
15,95,0.06830506026744843,
16,101,,0.2315843105316162
16,101,0.09184064716100693,
17,107,,0.22572211921215057
17,107,0.07559625059366226,
18,113,,0.20825962722301483
18,113,0.08198006451129913,
19,119,,0.21437649428844452
19,119,0.07755473256111145,
20,125,,0.20818181335926056
20,125,0.08097445964813232,
21,131,,0.22440806031227112
21,131,0.07949741184711456,
22,137,,0.22717566788196564
22,137,0.07006053626537323,
23,143,,0.21106724441051483
23,143,0.06985922902822495,
24,149,,0.21457359194755554
24,149,0.07820913195610046,
25,155,,0.20899474620819092
25,155,0.07868382334709167,
26,161,,0.20311477780342102
26,161,0.06360526382923126,
27,167,,0.21912384033203125
27,167,0.07244966179132462,
28,173,,0.23432083427906036
28,173,0.07140195369720459,
29,179,,0.21804961562156677
29,179,0.06720368564128876,
30,185,,0.22517156600952148
30,185,0.08404980599880219,
31,191,,0.21173334121704102
31,191,0.0687260553240776,
32,197,,0.20294363796710968
32,197,0.07282590121030807,
33,203,,0.21195439994335175
33,203,0.07083812355995178,
34,209,,0.22870448231697083
34,209,0.06907884031534195,
35,215,,0.23976580798625946
35,215,0.0760856345295906,
36,221,,0.22321204841136932
36,221,0.07304790616035461,
37,227,,0.20635978877544403
37,227,0.07406916469335556,
38,233,,0.2108253687620163
38,233,0.07160134613513947,
39,239,,0.21132901310920715
39,239,0.07658271491527557,
40,245,,0.2313062697649002
40,245,0.07374826818704605,
41,251,,0.22126570343971252
41,251,0.07220232486724854,
42,257,,0.20470836758613586
42,257,0.07385318726301193,
43,263,,0.21484391391277313
43,263,0.0681229829788208,
44,269,,0.23446646332740784
44,269,0.07501055300235748,
45,275,,0.20107977092266083
45,275,0.06175555661320686,
46,281,,0.19737866520881653
46,281,0.07736623287200928,
47,287,,0.2326032668352127
47,287,0.0826447606086731,
48,293,,0.2318350374698639
48,293,0.08276107907295227,
49,299,,0.2210322618484497
49,299,0.07180362194776535,
50,305,,0.20029175281524658
50,305,0.07925419509410858,
51,311,,0.20424552261829376
51,311,0.0695226788520813,
52,317,,0.21694371104240417
52,317,0.08585838973522186,
53,323,,0.22649934887886047
53,323,0.07702042907476425,
54,329,,0.20280137658119202
54,329,0.06869066506624222,
55,335,,0.2045348435640335
55,335,0.07892024517059326,
56,341,,0.23038756847381592
56,341,0.06749068200588226,
57,347,,0.19764602184295654
57,347,0.07220198959112167,
58,353,,0.21783104538917542
58,353,0.06444469094276428,
59,359,,0.22558197379112244
59,359,0.06861914694309235,
60,365,,0.2073628008365631
60,365,0.06565936654806137,
61,371,,0.20804795622825623
61,371,0.06259267032146454,
62,377,,0.2254437953233719
62,377,0.07402700930833817,
63,383,,0.19995826482772827
63,383,0.06648813188076019,
64,389,,0.21643278002738953
64,389,0.07268548756837845,
65,395,,0.21456411480903625
65,395,0.06344888359308243,
66,401,,0.19536888599395752
66,401,0.06543918699026108,
67,407,,0.20766976475715637
67,407,0.06854196637868881,
68,413,,0.23645944893360138
68,413,0.06770846247673035,
69,419,,0.19648727774620056
69,419,0.08191069215536118,
70,425,,0.19709202647209167
70,425,0.08230878412723541,
71,431,,0.24759769439697266
71,431,0.06196984648704529,
72,437,,0.2172800600528717
72,437,0.06805834174156189,
73,443,,0.19370195269584656
73,443,0.07269661873579025,
74,449,,0.21674449741840363
74,449,0.06356381624937057,
75,455,,0.1882222443819046
75,455,0.06873571872711182,
76,461,,0.23464497923851013
76,461,0.06131066381931305,
77,467,,0.19742418825626373
77,467,0.0715421587228775,
78,473,,0.19814461469650269
78,473,0.07287624478340149,
79,479,,0.22776126861572266
79,479,0.06667374819517136,
80,485,,0.20325914025306702
80,485,0.0708731934428215,
81,491,,0.21280257403850555
81,491,0.08039132505655289,
82,497,,0.2132355272769928
82,497,0.0643250122666359,
83,503,,0.20041915774345398
83,503,0.07717940211296082,
84,509,,0.2002057284116745
84,509,0.06772617995738983,
85,515,,0.21676567196846008
85,515,0.06068165972828865,
86,521,,0.2112845480442047
86,521,0.06268777698278427,
87,527,,0.19307567179203033
87,527,0.0704108327627182,
88,533,,0.20085850358009338
88,533,0.06921873986721039,
89,539,,0.22557346522808075
89,539,0.06403227150440216,
90,545,,0.1849406361579895
90,545,0.061948977410793304,
91,551,,0.2000691443681717
91,551,0.06692582368850708,
92,557,,0.21015611290931702
92,557,0.06588608771562576,
93,563,,0.21453146636486053
93,563,0.050361838191747665,
94,569,,0.19071882963180542
