step,best_fitness,current_fitness
0,-345.300048828125,-345.300048828125
1,-345.300048828125,-345.300048828125
2,-345.300048828125,-345.300048828125
3,-345.300048828125,-345.300048828125
4,-344.06585693359375,-344.06585693359375
5,-344.06585693359375,-344.06585693359375
6,-343.1639404296875,-343.1639404296875
7,-337.38714599609375,-337.38714599609375
8,-335.4964599609375,-335.4964599609375
9,-324.09893798828125,-324.09893798828125
10,-324.09893798828125,-324.09893798828125
11,-324.09893798828125,-324.09893798828125
12,-324.09893798828125,-324.09893798828125
13,-324.09893798828125,-324.09893798828125
14,-324.09893798828125,-324.09893798828125
15,-324.09893798828125,-324.09893798828125
16,-324.09893798828125,-324.09893798828125
17,-324.09893798828125,-324.09893798828125
18,-321.067626953125,-321.067626953125
19,-321.067626953125,-321.067626953125
20,-321.067626953125,-321.067626953125
21,-321.067626953125,-321.067626953125
22,-321.067626953125,-321.067626953125
23,-321.067626953125,-321.067626953125
24,-321.067626953125,-321.067626953125
25,-319.04656982421875,-319.04656982421875
26,-319.04656982421875,-319.04656982421875
27,-319.04656982421875,-319.04656982421875
28,-319.04656982421875,-319.04656982421875
29,-319.04656982421875,-319.04656982421875
30,-319.04656982421875,-319.04656982421875
31,-319.04656982421875,-319.04656982421875
32,-319.04656982421875,-319.04656982421875
33,-319.04656982421875,-319.04656982421875
34,-319.04656982421875,-319.04656982421875
35,-319.04656982421875,-319.04656982421875
36,-319.04656982421875,-319.04656982421875
37,-319.04656982421875,-319.04656982421875
38,-319.04656982421875,-319.04656982421875
39,-319.04656982421875,-319.04656982421875
40,-319.04656982421875,-319.04656982421875
41,-319.04656982421875,-319.04656982421875
42,-319.04656982421875,-319.04656982421875
43,-319.04656982421875,-319.04656982421875
44,-319.04656982421875,-319.04656982421875
45,-319.04656982421875,-319.04656982421875
46,-319.04656982421875,-319.04656982421875
47,-319.04656982421875,-319.04656982421875
48,-319.04656982421875,-319.04656982421875
49,-319.04656982421875,-319.04656982421875
50,-319.04656982421875,-319.04656982421875
51,-319.04656982421875,-319.04656982421875
52,-319.04656982421875,-319.04656982421875
53,-319.04656982421875,-319.04656982421875
54,-319.04656982421875,-319.04656982421875
55,-319.04656982421875,-319.04656982421875
56,-319.04656982421875,-319.04656982421875
57,-319.04656982421875,-319.04656982421875
58,-319.04656982421875,-319.04656982421875
59,-319.04656982421875,-319.04656982421875
60,-319.04656982421875,-319.04656982421875
61,-319.04656982421875,-319.04656982421875
62,-319.04656982421875,-319.04656982421875
63,-319.04656982421875,-319.04656982421875
64,-319.04656982421875,-319.04656982421875
65,-319.04656982421875,-319.04656982421875
66,-319.04656982421875,-319.04656982421875
67,-319.04656982421875,-319.04656982421875
68,-319.04656982421875,-319.04656982421875
69,-319.04656982421875,-319.04656982421875
70,-319.04656982421875,-319.04656982421875
71,-319.04656982421875,-319.04656982421875
72,-319.04656982421875,-319.04656982421875
73,-319.04656982421875,-319.04656982421875
74,-319.04656982421875,-319.04656982421875
75,-319.04656982421875,-319.04656982421875
76,-319.04656982421875,-319.04656982421875
77,-319.04656982421875,-319.04656982421875
78,-319.04656982421875,-319.04656982421875
79,-319.04656982421875,-319.04656982421875
80,-319.04656982421875,-319.04656982421875
81,-319.04656982421875,-319.04656982421875
82,-319.04656982421875,-319.04656982421875
83,-318.6640625,-318.6640625
84,-318.6640625,-318.6640625
85,-318.6640625,-318.6640625
86,-318.6640625,-318.6640625
87,-318.6640625,-318.6640625
88,-318.6640625,-318.6640625
89,-318.6640625,-318.6640625
90,-318.6640625,-318.6640625
91,-318.6640625,-318.6640625
92,-318.6640625,-318.6640625
93,-318.6640625,-318.6640625
94,-318.6640625,-318.6640625
95,-318.6640625,-318.6640625
96,-318.4378967285156,-318.4378967285156
97,-318.4378967285156,-318.4378967285156
98,-318.4378967285156,-318.4378967285156
99,-318.4378967285156,-318.48992919921875
100,-318.4378967285156,-318.48992919921875
101,-318.4378967285156,-318.48992919921875
102,-318.4378967285156,-318.48992919921875
103,-318.4378967285156,-318.48992919921875
104,-318.4378967285156,-318.48992919921875
105,-318.4378967285156,-318.48992919921875
106,-318.4378967285156,-318.48992919921875
107,-318.4378967285156,-318.48992919921875
108,-318.4378967285156,-318.48992919921875
109,-318.4378967285156,-318.48992919921875
110,-318.4378967285156,-318.48992919921875
111,-318.4378967285156,-318.48992919921875
112,-318.4378967285156,-318.48992919921875
113,-318.4378967285156,-318.48992919921875
114,-318.4378967285156,-318.48992919921875
115,-318.4378967285156,-318.48992919921875
116,-318.4378967285156,-318.48992919921875
117,-318.4378967285156,-318.48992919921875
118,-318.4378967285156,-318.48992919921875
119,-318.4378967285156,-318.48992919921875
120,-318.4378967285156,-318.48992919921875
121,-318.4378967285156,-318.48992919921875
122,-318.4378967285156,-318.48992919921875
